latitude,longitude,severity,cluster
26.7069,-80.11936,1,0
38.781024,-121.26582,2,1
33.985249,-84.269348,3,0
47.118706,-122.556908,3,1
33.451355,-111.890343,2,1
42.44891,-93.721138,2,3
38.858169,-77.219815,2,4
32.434292,-82.50071,3,0
39.10696,-76.939789,2,4
37.636405,-122.087711,2,1
45.5116,-92.99298,2,3
40.360512,-79.907692,2,4
32.991182,-117.210233,2,1
30.209486,-89.795661,2,2
35.975361,-86.645889,2,3
38.42450022679128,-77.4196779724244,2,4
35.34877,-97.529953,2,2
42.561768,-71.29819499999998,2,4
35.237194,-80.854927,3,0
42.741664,-73.652872,2,4
33.790718,-78.99678,3,0
44.062361,-123.049585,4,1
42.973778,-83.712906,2,3
26.625007,-81.715533,2,0
44.16056,-121.25876,2,1
40.427761,-79.891373,3,4
28.17606,-82.39201,2,0
35.761417,-119.238922,2,1
45.302065,-121.7462,2,1
40.846059,-73.930479,2,4
37.871369,-75.558504,2,4
34.33692,-117.25912,2,1
41.751995,-87.96725500000002,2,3
38.802006,-77.163635,3,4
31.776508000000003,-106.225082,2,2
25.98505,-80.16546600000002,3,0
47.635887,-122.228004,2,1
34.44978833,-118.42359424,2,1
38.913531,-76.850453,2,4
34.076692,-118.219389,2,1
42.935804,-78.904033,2,4
25.73778,-80.38459,3,0
39.095516,-94.648064,2,3
28.449911,-81.480513,2,0
27.098573,-82.38450300000002,2,0
28.467188,-80.801384,2,0
37.44928,-122.123245,2,1
40.838239,-73.933702,2,4
34.153255,-118.6521,2,1
41.387154,-73.497075,2,4
34.061732,-81.173354,2,0
33.913326,-84.286528,2,0
28.465607,-81.27565799999998,2,0
29.653435,-95.445572,2,2
33.770603,-117.985657,2,1
32.806572,-96.840332,3,2
30.412138,-91.080348,2,2
33.855694,-117.787199,2,1
40.768284,-73.692161,2,4
36.15332,-95.922523,1,2
28.346886,-81.673508,2,0
46.45237,-92.969879,2,3
33.55299,-112.058746,2,1
41.047195,-73.803398,2,4
34.50687,-81.936279,2,0
25.909895,-80.236127,2,0
35.844048,-78.614098,2,4
32.852409,-96.672823,2,2
35.076744,-89.95121800000004,2,3
35.97736,-86.56235500000004,2,3
39.51748967151872,-119.63230490627464,2,1
36.765781,-119.77771,2,1
40.605468,-74.314054,2,4
25.733,-80.336792,2,0
41.873112,-71.39057199999998,3,4
35.149711,-80.834503,2,0
35.861828,-78.54888199999998,2,4
35.754738,-109.627014,2,1
41.575638,-87.26675300000002,2,3
42.319405,-87.856148,2,3
34.071758,-118.09948,3,1
25.942293,-80.30808499999998,2,0
40.246342,-75.647348,2,4
34.989628,-82.24294300000003,2,0
42.96671,-85.6722,2,3
28.330924,-82.678113,2,0
41.850979,-71.40862299999998,2,4
39.1475,-84.53904,2,3
35.156223,-89.879974,3,3
37.239342,-81.10619399999999,3,4
33.940735,-117.261536,2,1
38.971164,-77.179063,2,4
41.77234769,-87.90726542,2,3
36.649361,-82.08602900000002,3,0
36.98759,-121.969538,2,1
37.187537,-120.971608,2,1
42.387796640194,-122.38174080790336,2,1
40.709355,-122.335056,2,1
32.155109,-111.106033,2,1
46.885085,-114.039245,2,1
41.649418,-72.672035,3,4
33.412071000000005,-86.758507,3,0
29.53054,-95.1325,3,2
38.860254,-77.219886,2,4
40.864838,-74.42056,2,4
32.88428,-117.22787,2,1
33.884083000000004,-117.637878,2,1
32.919033,-96.766014,2,2
41.648481,-93.773213,2,3
41.8079,-88.07599,3,3
34.003793,-118.277515,2,1
44.948635,-92.959137,2,3
30.507696000000006,-87.326374,2,0
36.053452,-86.672874,2,3
37.712126,-89.894184,2,3
34.501141,-82.251427,2,0
27.713609,-82.679349,2,0
35.730362,-81.364487,2,0
33.928495,-118.28969,2,1
39.652641,-104.91803,3,2
40.260619,-121.32791,2,1
39.536568,-119.807728,2,1
26.54697,-81.788338,2,0
37.588497,-122.246201,2,1
35.442863,-80.87487,2,0
25.572286,-80.377155,2,0
40.768085,-73.705917,3,4
35.62364,-97.54953,3,2
39.644793,-86.074124,2,3
44.218197,-88.544151,2,3
32.544849,-80.744343,2,0
33.898136,-118.105141,2,1
39.013489,-77.042068,3,4
38.21022,-85.665741,2,3
32.643445,-96.779667,2,2
43.059129,-77.523333,2,4
34.998845,-79.21909000000002,2,0
40.7375,-111.55587,2,1
30.232016,-97.765992,2,2
32.676218,-96.857926,2,2
35.76792899999999,-78.574097,2,4
42.523651,-70.996178,2,4
42.46616,-88.01715899999998,2,3
36.74061,-121.65862,2,1
35.46244,-80.737648,2,0
41.7009,-70.119828,2,4
33.8778,-80.696442,2,0
34.430326223209235,-117.37736105862912,2,1
33.901825,-117.46671299999998,2,1
30.315893,-97.662956,2,2
40.25772,-75.65619000000002,2,4
33.967172999999995,-118.229834,2,1
32.907067,-96.728514,2,2
29.983375,-95.286175,2,2
41.709579,-75.67062299999998,4,4
33.93918,-117.172352,2,1
37.649617,-77.602522,2,4
29.72523,-95.46022,3,2
35.536497,-82.604042,2,0
34.024374,-117.746929,2,1
42.963123,-85.673698,2,3
29.725431,-95.476394,2,2
35.017399,-85.294159,3,0
27.853738,-82.63884300000002,2,0
39.335278,-77.377608,2,4
39.225668,-76.717054,2,4
29.77035,-90.815397,2,2
36.152351,-86.769012,2,3
